ID_Sobre,Proyecto,Tipo_Documento,Fecha_Envio,proba_incumplimiento,riesgo_predicho,dias_estimados_completar
0001360e-8d69-49d6-bf09-fac5bd5f67e4,Turquesa,Otrosí,2026-04-25,0.44483279169224355,Bajo,5.2
00215454-9f56-4aa4-946a-82b2ce2c8c4d,Puerto Capri,Otrosí,2026-04-30,0.5868826407417866,Medio,6.8
004e65a3-e496-49dd-8fe7-8a99c62f2832,Velvet,Otrosí,2026-04-30,0.5845103107038706,Medio,20.9
00792369-69b5-42e3-bc57-d2b849874ee8,Villa Vento,Otrosí,2026-01-25,0.9600810711591898,Alto,49.8
0084d548-7afb-4a28-a7f3-1c81394e6c8d,Cocuy,Cierre de venta,2026-04-30,0.4370875460660512,Bajo,6.3
00cb7894-9bd1-4106-a648-abfa2ff7ea14,Monte Rosa,Promesa de compraventa,2026-04-13,0.5635643214288067,Medio,11.5
00dc3db3-2540-49f9-826c-db061a55bc05,Tayrona,Cierre de venta,2026-04-26,0.3228752170423244,Bajo,4.7
00f4bba9-a05d-4ff6-be30-8d2de13c388d,Bulevar Verde,Cierre de venta,2026-03-04,0.5205518356089476,Bajo,10.5
0106db0e-dfc0-49c2-b78d-6e3f487e9494,Puerto Vallarta,Otrosí,2026-04-28,0.6177025544453477,Medio,12.5
014218dc-bdcf-4d10-8f8a-6a043db7c2c1,Villa Vento,Otrosí,2026-04-22,0.8352471821334677,Alto,11.0
016b9689-d241-4f30-ad59-ac52610bd5d6,Verde Silvestre,Promesa de compraventa,2026-04-09,0.46894140454478955,Bajo,17.1
0178a070-2a1e-4dca-8b57-fb0fef688884,Villa Vento,Otrosí,2026-04-24,0.8147763047676786,Alto,23.3
02059316-e6a3-4b17-aaeb-1709d2a4b677,Tayrona,Otrosí,2026-01-25,0.7675193796706051,Alto,27.1
020be551-d9ee-455e-8150-18b2020d1d9f,Puerto Vallarta,Otrosí ajuste de salarios,2026-04-21,0.8601996482398448,Alto,15.7
0248b394-f9a4-44ff-a52b-b1004501ed7d,Verde Olivo,Otrosí,2026-02-14,0.8289092837127879,Alto,19.1
0310a146-6e5e-4148-917d-11e592cb5539,Verde Olivo,Otrosí,2026-04-27,0.47933204332569623,Bajo,6.0
033e3b5d-91d3-499b-b36e-dd0192a069b2,Nature Aqua,Promesa de compraventa,2026-04-09,0.6238712279472993,Medio,40.9
